rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
88,0.6674203395843505,0.0099505597785217,0.02180204391479492,0.0029190263313458396,0.7,200,0.1,5,0.01,0.1,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 200, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0.1}",-0.20135276377762665,-0.30718398760102117,-0.22506247751172828,-0.40848211052131805,-0.4281685334925247,-0.31404997458084377,0.09231148522368893
89,0.8150375366210938,0.0259723239848296,0.031918573379516604,0.0026317972212545862,0.5,900,0.0,5,0.1,0.1,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.1, 'rgr__gamma': 0.1}",-0.21984637093496787,-0.29256417028876247,-0.23006234174891824,-0.4254117752352258,-0.42453150971469894,-0.31848323358451464,0.09044250385544253
90,0.6091547966003418,0.010754142063756219,0.025077009201049806,0.002204328200343677,0.5,500,0.1,6,0.1,0.1,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.1, 'rgr__gamma': 0.1}",-0.22606033807802794,-0.3064366711242232,-0.1938005956107504,-0.4394526318024415,-0.4389266209108299,-0.32093537150525464,0.10328892626699335
91,0.4280861854553223,0.004310482558183253,0.02018132209777832,0.0008557834432267697,0.7,300,0.0,6,0.1,0.1,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 300, 'rgr__min_child_weight': 0, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.1, 'rgr__gamma': 0.1}",-0.20853610130000144,-0.29225245715711123,-0.2269231747896644,-0.4552243719168668,-0.4232435180556587,-0.32123592464386047,0.10079150705357133
92,0.7224739551544189,0.01135343291932986,0.029022693634033203,0.002364508028667563,0.7,600,0.1,3,0.05,0.1,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.05, 'rgr__gamma': 0.1}",-0.23258385984245106,-0.3371085044726761,-0.2348935812461816,-0.42508805708940517,-0.3836904827011471,-0.32267289707037217,0.07777099772308863
93,0.2771939754486084,0.07059734338435601,0.02145247459411621,0.00844054765626931,0.6,100,0.0,3,0.1,0.1,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 100, 'rgr__min_child_weight': 0, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.1, 'rgr__gamma': 0.1}",-0.24721662648123252,-0.2853437997427837,-0.23942097356824882,-0.44219001977057815,-0.40134979290149564,-0.32310424249286773,0.08305595620677356
94,0.703223991394043,0.01172759392790152,0.025815534591674804,0.002328951036266073,0.5,500,0.1,4,0.05,0.1,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 4, 'rgr__learning_rate': 0.05, 'rgr__gamma': 0.1}",-0.20797171393230435,-0.3027058113747831,-0.2250795579348942,-0.4366269500013989,-0.4530872425764828,-0.3250942551639727,0.10299865881278959
95,0.767379903793335,0.017060374422763876,0.03049774169921875,0.0015526062248214076,0.7,700,0.1,2,0.05,0.1,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 2, 'rgr__learning_rate': 0.05, 'rgr__gamma': 0.1}",-0.2744586429376255,-0.33091219513670767,-0.25513521802401606,-0.38930168274869503,-0.4272230982449326,-0.33540616741839535,0.06559466015309678
96,0.48569526672363283,0.01430431396992831,0.02342982292175293,0.0005496010978067678,0.5,400,1.0,2,0.05,0.1,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 400, 'rgr__min_child_weight': 1, 'rgr__max_depth': 2, 'rgr__learning_rate': 0.05, 'rgr__gamma': 0.1}",-0.24591906125345894,-0.31541405373464926,-0.2289566272908004,-0.4165112450419498,-0.47074433892838774,-0.33550906524984925,0.09448124969206027
97,0.8237507820129395,0.011486380614038894,0.03170785903930664,0.0006046439682048715,0.6,800,0.1,2,0.05,0.1,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 2, 'rgr__learning_rate': 0.05, 'rgr__gamma': 0.1}",-0.2737626182893992,-0.34483778433037154,-0.25453783627670823,-0.4388487703388648,-0.45368052757781596,-0.35313350736263194,0.08191028383667638
98,0.2951368808746338,0.0024775444357621537,0.017181825637817384,0.0005890135971596862,0.6,100,0.1,4,0.01,0.1,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 100, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 4, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0.1}",-0.24408226561457566,-0.39949319092752483,-0.27860210022685433,-0.46760931230352204,-0.5291528170861568,-0.3837879372317267,0.10861432796466929
99,0.3804213047027588,0.0069722149072038424,0.019055843353271484,0.002798330236374284,0.5,100,0.0,5,0.01,0.1,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 100, 'rgr__min_child_weight': 0, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0.1}",-0.24728110296885025,-0.39819207865926937,-0.2784322544954879,-0.4802634570737279,-0.5192603620146916,-0.38468585104240544,0.10732910838617778
100,0.1997194766998291,0.009838045456059062,0.016648483276367188,0.0008469062253837698,0.6,100,0.1,2,0.01,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 100, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 2, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.261407409377673,-0.4236180388220281,-0.2913081990231719,-0.48737419119744857,-0.526911602902246,-0.3981238882645135,0.10516922629286449
