Title,model_score,raw_score,time_est,release_date,genre_metacritic,developer_metacritic
Yakuza: Like a Dragon,1245.1929787467202,1245.1929787467202,67.73222222222222,1/16/2020,JRPG,Ryu ga Gotoku Studios
Lorelei and the Laser Eyes,1243.8476551100023,1243.8476551100023,19.820555555555554,5/16/2024,Adventure,Simogo
Tsukihime - A piece of blue glass moon,1243.582316646771,1243.582316646771,47.56,8/26/2021,Visual Novel,Type-Moon
Final Fantasy Tactics,1243.5559611543856,1243.5559611543856,53.34444444444444,6/20/1997,Turn-Based Tactics,TOSE
Rimworld,1241.935711498403,1241.935711498403,105.72694444444444,10/17/2018,Real-Time Strategy,Ludeon Studios
SteamWorld Dig 2,1238.7006233396066,1238.7006233396066,9.448333333333334,9/21/2017,Metroidvania,Image & Form
Ghost of Tsushima,1238.4733689803209,1238.4733689803209,50.3325,7/17/2020,Open-World Action,Sucker Punch
XCOM 2,1237.951980637806,1237.951980637806,44.46388888888889,2/1/2018,Turn-Based Tactics,Firaxis Games
Pseudoregalia,1237.5395687058283,1237.5395687058283,6.130277777777778,7/28/2023,Metroidvania,rittzler
Cocoon,1237.4895835556595,1237.4895835556595,5.139722222222222,9/29/2023,Action Adventure,Geometric Interactive
Earthbound,1236.7807878995104,1217.9254570547917,30.368333333333332,12/31/1983,JRPG,Nintendo
The Binding of Isaac: Rebirth,1236.740500042429,1236.740500042429,123.86583333333333,7/24/2021,Top-Down Shoot-Em-Up,Nicalis
Taiji,1233.502285569292,1233.502285569292,13.253055555555555,9/9/2022,Adventure,Matthew VanDevander
CrossCode,1233.093486125338,1233.093486125338,53.24388888888889,9/20/2018,Action RPG,Radical Fish Games
Bug Fables,1232.9504334479884,1232.9504334479884,37.88305555555556,11/21/2019,Action RPG,Moonsprout Games
Indiana Jones And The Great Circle,1231.9655866891928,1231.9655866891928,25.405,12/9/2024,Action Adventure,MachineGames
Shadow of the Colossus,1231.914648631711,1231.914648631711,8.286388888888888,1/12/2012,Action Adventure,Bluepoint Games
Dave the Diver,1231.7720829488244,1231.7720829488244,33.645833333333336,6/28/2023,Action Adventure,MINT ROCKET
Pyre,1231.7308075172202,1231.7308075172202,13.837777777777777,7/25/2017,RPG,Supergiant Games
Psychonauts,1231.687322171711,1198.5847833238556,14.834444444444445,4/19/2005,3D Platformer,Double Fine Productions
Caves Of Qud,1230.2922185710383,1230.2922185710383,56.036944444444444,,Roguelike,Freehold Games
Dishonored,1228.5977009505739,1228.5977009505739,16.415277777777778,10/9/2012,Action Adventure,Arkane Studios
Okami HD,1228.4921627309222,1228.4921627309222,40.02361111111111,10/30/2012,Action Adventure,HexaDrive
Laika: Aged Through Blood,1228.4121665699133,1228.4121665699133,20.397777777777776,10/19/2023,Metroidvania,Brainwash Gang
The Last of Us Part I,1227.896039672086,1227.896039672086,17.218611111111112,9/1/2022,Linear Action Adventure,Naughty Dog
Slay the Spire,1227.7726987544963,1227.7726987544963,37.16888888888889,1/23/2019,Card Battle,Mega Crit Games
Citizen Sleeper,1227.729576529168,1227.729576529168,9.74,5/5/2022,Western RPG,Jump Over The Age
The Talos Principle,1225.970920614743,1225.970920614743,21.095833333333335,12/11/2014,First-Person Adventure,Croteam
Into the Breach,1224.7499184326368,1224.7499184326368,13.633055555555556,2/27/2018,Turn-Based Tactics,Subset Games
Ori and the Blind Forest,1224.6733527414756,1224.6733527414756,9.858611111111111,3/11/2015,Metroidvania,Moon Studios
Death Stranding,1224.540300696792,1224.540300696792,57.80305555555555,11/8/2019,Open-World Action,Kojima Productions
The House in Fata Morgana,1224.512308796704,1224.512308796704,32.51638888888889,12/31/2012,Visual Novel,HuneX
Doki Doki Ragnarok,1224.0043883023661,1224.0043883023661,2.45,2/14/2021,Visual Novel,BrutalHack
ENDER LILIES,1223.5376799931767,1223.5376799931767,19.163611111111113,6/21/2021,Metroidvania,Live Wire
Transistor,1223.5148430630072,1223.5148430630072,7.713888888888889,5/20/2014,Action RPG,Supergiant Games
Mother 3,1222.6392897659714,1241.4946206106902,26.7725,4/20/2006,JRPG,Brownie Brown
