Title,model_score,raw_score,time_est,release_date,genre_metacritic,developer_metacritic
Star Wars: Dark Forces Remaster,1141.9335896018395,1141.9335896018395,9.333055555555555,2/28/2024,FPS,Nightdive Studios
Pacific Drive,1141.422755504846,1141.422755504846,28.96388888888889,2/22/2024,Survival,Ironwood Studios
Nuclear Blaze,1139.419283318777,1139.419283318777,2.245277777777778,10/18/2021,2D Platformer,Deepnight Games
SPOOKWARE,1138.0591914282033,1138.0591914282033,4.091666666666667,,Party,"Adam Pype, Tibau Van den Broeck, Viktor Kraus"
Hyperbolica,1136.555841986906,1136.555841986906,2.8975,3/14/2022,First-Person Adventure,CodeParade
Cthulhu Saves the World,1135.0291117667737,1135.0291117667737,9.473611111111111,12/30/2010,JRPG,Zeboyd Games
Super Mario Bros. 2,1133.88749932308,1133.88749932308,3.16,7/14/1993,,
BPM: Bullets Per Minute,1130.4955673882107,1130.4955673882107,7.116666666666666,9/15/2020,FPS,Awe Interactive
Rain World,1121.9462445045044,1121.9462445045044,29.497777777777777,3/28/2017,2D Platformer,Warp Digital Entertainment
En Garde!,1121.426737726356,1121.426737726356,4.4927777777777775,8/16/2023,Action Adventure,Fireplace Games
Torchlight,1118.4385604760948,1118.4385604760948,19.092777777777776,10/27/2009,Action RPG,Runic Games
Genesis Noir,1118.0926714547968,1118.0926714547968,5.043055555555555,3/11/2021,Point-and-Click,Feral Cat Den
Pokemon XD: Gale of Darkness,1116.6247146978767,1116.6247146978767,34.9925,8/4/2005,Trainer RPG,Genius Sonority Inc.
Chained Together,1111.2120919943234,1111.2120919943234,6.027777777777778,6/19/2024,3D Platformer,Anegar Games
"Warhammer 40,000: Dawn of War - Soulstorm",1111.2117086993242,1111.2117086993242,20.68,3/4/2008,Real-Time Strategy,Iron Lore Entertainment
Little Inferno,1110.4821662735585,1110.4821662735585,4.010555555555555,11/18/2012,Action Puzzle,Tomorrow Corporation
Shadow of the Tomb Raider,1103.9565516430864,1103.9565516430864,21.194166666666668,9/14/2018,Action Adventure,Eidos Montreal
Lost Dimension,1094.3189098225628,1094.3189098225628,21.107777777777777,8/7/2014,Turn-Based Tactics,Lancarse
Outward,1091.4044472443245,1091.4044472443245,53.07666666666667,3/26/2019,Open-World Action,Nine Dots Studio
Age of Wonders: Planetfall,1090.062797801059,1090.062797801059,138.71027777777778,8/6/2019,4X Strategy,Triumph Studios
Sable,1088.442833810362,1088.442833810362,15.089722222222223,9/23/2021,Open-World Action,Shed-Works
Fairy Fencer F,1082.7450749514248,1082.7450749514248,33.031666666666666,10/10/2013,JRPG,Compile Heart
The Lord Of The Rings The Two Towers,1082.3909562369333,1082.3909562369333,7.311944444444444,7/2/2003,,
Dear Esther: Landmark Edition,1070.11700240089,1070.11700240089,1.5447222222222223,9/20/2016,First-Person Adventure,The Chinese Room
Panzer Dragoon: Remake,1065.7337884172491,1065.7337884172491,2.335277777777778,3/25/2020,Rail Shooter,MegaPixel Studio
Final Fantasy II,1055.7954450327666,1055.7954450327666,23.820555555555554,7/28/2021,JRPG,TOSE
Capsized,1048.66881550455,1048.66881550455,4.320277777777778,4/29/2011,2D Platformer,Koolhaus Games
Fate/EXTELLA,1041.314520116217,1041.314520116217,32.07527777777778,6/7/2018,3D Beat-Em-Up,Marvelous Inc.
Proteus,1017.4451892264967,1017.4451892264967,1.0366666666666666,1/30/2013,First-Person Adventure,Ed Key and David Kanaga
