Title,My Rating,raw_score,release_date,genre_metacritic,developer_metacritic
Lies of P,4.0,3.9064718785836905,2023-09-18,Action Adventure,Round 8 Studio of NEOWIZ
MVP Baseball 2005,4.5,3.9051294508183734,2005-02-22,Baseball Sim,EA Sports
Tony Hawk's Pro Skater 1+2,3.5,3.902957958463507,2020-09-04,Skating,Vicarious Visions
Assassin's Creed Brotherhood,3.0,3.902635208877882,2016-11-15,Open-World Action,Ubisoft Montreal
Vampire Survivors,4.0,3.9024064223741024,2022-02-01,Top-Down Shoot-Em-Up,poncle
Dredge,4.0,3.8942374524503403,2023-03-30,Action Adventure,Black Salt Games
FTL: Faster Than Light,4.0,3.889487500955055,2012-09-14,Real-Time Strategy,Subset Games
Kerbal Space Program,4.0,3.889059181447839,2015-04-27,Space Sim,Squad
Tony Hawk's Underground,4.0,3.886385744190076,2003-10-27,Skating,Neversoft Entertainment
Guitar Hero III: Legends of Rock,4.0,3.884563742001232,2007-10-28,Rhythm,Neversoft Entertainment
Far Cry 3,4.0,3.8822849414671525,2012-11-28,FPS,Ubisoft Montreal
Tony Hawk's Pro Skater 4,3.5,3.8713920607929775,2002-10-23,Skating,Neversoft Entertainment
A Short Hike,4.0,3.8592909040289705,2019-07-30,Adventure,adamgryu
Skate 2,4.0,3.848478608984396,2009-01-21,Skating,EA Black Box
Before Your Eyes,4.0,3.8484603365955827,2023-03-10,First-Person Adventure,GoodbyeWorld Games
Halo Infinite,4.0,3.843867818656756,2021-11-15,FPS,343 Industries
Borderlands 2,4.0,3.843234837236242,2012-09-18,FPS,Gearbox Software
Fire Emblem: The Sacred Stones,4.0,3.840858421070542,2004-10-07,Turn-Based Tactics,Intelligent Systems
Tunic,4.0,3.836975419770697,2022-03-16,Open-World Action,ISOMETRICORP Games
Pokemon Emerald Version,4.0,3.827405759291454,2004-09-16,Trainer RPG,Game Freak
Fire Emblem: Path of Radiance,4.0,3.823261841444933,2005-04-20,Turn-Based Tactics,Intelligent Systems
Pokemon Red Version,4.0,3.8084581067356673,1996-02-27,,
RollerCoaster Tycoon 2,4.5,3.8082969513789036,2002-10-15,Tycoon,Chris Sawyer
Tetris,4.5,3.806056610698634,2020-09-22,,
The Stanley Parable,4.0,3.802155163187278,2013-10-17,First-Person Adventure,Davey Wreden
Silicon Dreams,4.0,3.790414979047205,2021-04-20,First-Person Adventure,Clockwork Bird
MLB 11: The Show,4.0,3.7899741372706,2011-03-08,Baseball Sim,SCEA San Diego Studios
Skate,4.0,3.7831978816077574,2007-09-14,Skating,EA Black Box
Doom (2016),4.0,3.773505280177711,2016-05-12,FPS,Panic Button
Batman:Arkham City,4.0,3.7725508632013844,2013-10-16,Open-World Action,Rocksteady Studios
Roboquest,4.0,3.767484958510248,1996-10-01,FPS,RyseUp Studios
Rock Band,4.0,3.7633190429019336,2009-12-31,Rhythm,Harmonix Music Systems
Sid Meier's Civilization V,3.5,3.7558496831790396,2010-09-21,4X Strategy,Firaxis Games
Star Wars: Battlefront 2,4.0,3.7553429233123885,2017-11-17,FPS,Pandemic Studios
MLB 13: The Show,4.0,3.7537410618493823,2013-03-05,Baseball Sim,SCEA San Diego Studios
Fallout 3,3.5,3.741458138534797,2008-10-28,Western RPG,Bethesda Game Studios
Spiritfall,3.5,3.725504383999598,2024-02-28,2D Platformer,Gentle Giant
Call of Duty 2,4.0,3.7242830615884306,2007-02-16,FPS,Infinity Ward
Kirby Nightmare in Dream Land,3.5,3.711490743000855,2002-10-25,2D Platformer,HAL Labs
Call of Duty: Modern Warfare 2,3.5,3.6984625776185736,2009-11-10,FPS,Infinity Ward
Pokemon Ruby Version,4.0,3.6949491740606297,2002-11-21,Trainer RPG,Game Freak
Dragon Ball: Sparking! Zero,3.0,3.686237177924195,2024-10-11,3D Fighting,Spike Chunsoft
Sonic The Hedgehog 2,4.0,3.685820571211874,1992-12-31,2D Platformer,M2
Katana Zero,3.5,3.6842227408592785,2019-04-18,2D Platformer,Askiisoft
Bastion,3.0,3.666152227038152,2011-07-20,Action RPG,Supergiant Games
Final Fantasy Tactics Advance,4.0,3.665769062999241,2003-02-14,Turn-Based Tactics,Square Enix
Cassette Beasts,3.5,3.662915445931881,2023-04-26,Trainer RPG,Bytten Studio
Star Wars: Republic Commando,4.0,3.656488480565367,2005-02-17,FPS,LucasArts
Cyberpunk 2077,4.5,3.6502035402920767,2020-12-10,Action RPG,CD Projekt Red Studio
Dragon's Dogma: Dark Arisen,4.0,3.649894673082509,2013-04-23,Action RPG,QLOC
Tony Hawk's Pro Skater 3,4.0,3.648424493586654,2001-11-14,Skating,Neversoft Entertainment
Super Smash Bros. Brawl,3.0,3.6456627200792306,2008-01-31,2D Fighting,Game Arts
