rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,param_preprocess__categorical__encode__min_frequency,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
14,5.973716402053833,0.0903903915386382,0.05804190635681152,0.0031543499735780826,0.7,1000,10,21,0.01,100,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 10, 'rgr__max_depth': 21, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-37997.13012784888,-31133.031701970987,-40506.21821968671,-26685.733186658537,-22005.441268112863,-31665.510900855596,6879.624603455653
15,5.594895744323731,0.17709556403869475,0.05700235366821289,0.005657980130079845,0.6,1000,10,13,0.01,100,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 10, 'rgr__max_depth': 13, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-39124.63085107211,-31360.82983782725,-40046.362177765994,-26499.636779343004,-22266.436644611338,-31859.579258123937,6939.892056578685
16,10.226518249511718,0.19703163132540877,0.06315479278564454,0.0027045542598940577,0.6,900,2,21,0.01,0,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 2, 'rgr__max_depth': 21, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-42835.0295714885,-33679.00863159764,-35763.62683385745,-27170.945953265003,-21215.08406269992,-32132.739010581707,7401.728166864917
17,9.962412071228027,0.07708922503822646,0.06521596908569335,0.002213390334015692,0.6,1000,2,15,0.01,0,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 2, 'rgr__max_depth': 15, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-43413.85166002461,-33191.79387605659,-35732.053923440304,-27177.119600959202,-21619.99285681318,-32226.96238345878,7434.67245904019
18,1.4453630924224854,0.0068176635152337765,0.04627418518066406,0.0030515897823804997,0.6,600,10,4,0.01,100,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 10, 'rgr__max_depth': 4, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-39363.35624615098,-29796.579033555503,-41027.09318910727,-27803.71711210215,-23259.114956435154,-32249.97210747021,6844.880156079274
19,5.9718177795410154,0.056693259095974585,0.05318303108215332,0.0033221266077012096,0.7,600,2,14,0.01,0,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 2, 'rgr__max_depth': 14, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-45738.798808027976,-30669.97779100457,-36239.948918951886,-28463.003591090044,-20455.754359947532,-32313.496693804394,8411.768764161248
20,3.0766764163970945,0.04927376768764943,0.05121736526489258,0.006642301538446469,0.8,600,10,9,0.01,0,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 10, 'rgr__max_depth': 9, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-38714.5639843778,-30442.052442191798,-41872.59848223156,-26857.627806228276,-23806.828335841583,-32338.734210174203,6898.972680863118
21,3.0969085693359375,0.05078818915180348,0.05375251770019531,0.0029343919875698056,0.7,800,2,6,0.01,100,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 2, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-44598.922366844476,-31858.422046714528,-36121.98126923806,-28653.726063200913,-21365.96873758705,-32519.804096717,7728.813717018127
22,4.267162752151489,0.06281369980385273,0.05148496627807617,0.0036866972983727684,0.7,700,10,17,0.01,1,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 10, 'rgr__max_depth': 17, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-39495.48565717694,-30945.688287193214,-42037.52127194422,-27115.754443037746,-23278.746229605073,-32574.639177791443,7159.759531918774
23,7.5926919937133786,0.1052153855436647,0.05532393455505371,0.0019837242325152506,0.8,600,2,19,0.01,1,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 2, 'rgr__max_depth': 19, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-42263.814248065915,-30128.096303148897,-36970.23498772349,-33595.1627481161,-20276.162619642677,-32646.694181339415,7368.2424294457915
24,3.8409499645233156,0.02392154658361734,0.05634274482727051,0.004546908170791144,0.6,1000,2,6,0.01,100,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 2, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-43306.210777336586,-32472.488541471706,-37199.45122545419,-27988.00508080571,-22547.70714784614,-32702.77255458287,7184.155311327926
25,7.56418251991272,0.07331483395456208,0.05452141761779785,0.0018787356596892796,0.8,600,2,18,0.01,0,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 2, 'rgr__max_depth': 18, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-42471.241829352155,-30153.116313746825,-37068.78002085213,-33672.25407019517,-20423.676669600824,-32757.81378074942,7384.940116112954
26,4.014087152481079,0.023616361131982358,0.05211176872253418,0.0035039936287268873,0.7,800,10,9,0.01,1,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 10, 'rgr__max_depth': 9, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-39569.25171028575,-31787.028016167467,-41899.818418734794,-27178.00771988273,-23423.928017091734,-32771.6067764325,7059.306883283004
27,5.495304203033447,0.10258998969179482,0.05591096878051758,0.0020262544718920904,0.7,900,10,21,0.01,0,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 10, 'rgr__max_depth': 21, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-40033.28963503209,-31032.755384425713,-42136.17896694186,-27224.082431286526,-23474.95292665135,-32780.251868867505,7220.156229447479
28,3.321005630493164,0.04883992057762791,0.0472989559173584,0.0022825463079850657,0.6,600,10,13,0.01,1,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 10, 'rgr__max_depth': 13, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-39604.78109342261,-31242.286054184406,-42121.05832364362,-27759.48743607952,-23396.643750310657,-32824.85133152816,7063.149927070421
29,1.4912143707275392,0.013502903642938251,0.047570991516113284,0.0017886508807602231,0.7,800,10,3,0.01,100,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 10, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-40507.146111075424,-30084.04649318064,-42105.09748978444,-27774.732521890768,-23670.633798661594,-32828.331282918574,7238.1761664080195
30,0.9854538917541504,0.0063928805931759095,0.045514917373657225,0.002371834373711488,0.8,500,2,3,0.01,1,3,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 2, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': 3}",-44645.3746602772,-32768.81137444458,-36475.34023395598,-29806.130032764773,-20529.93104505594,-32845.117469299694,7916.181794497294
31,3.963078260421753,0.01721058665669487,0.057395315170288085,0.0023417288580052844,0.8,1000,10,7,0.01,100,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 10, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-40405.67006674083,-30429.159196449324,-42870.66900654818,-26960.410841595403,-23700.632209531792,-32873.30826417311,7506.768981879419
32,3.9964916706085205,0.032279037093003865,0.0510859489440918,0.0027223013016429943,0.6,700,10,16,0.01,0,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 10, 'rgr__max_depth': 16, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-40345.92173832657,-31194.384087849146,-41457.95618708064,-27857.996002615026,-23861.03682380555,-32943.45896793539,6909.481984546071
33,3.1216623783111572,0.014969141781178733,0.055038738250732425,0.004335888254088466,0.8,900,10,6,0.01,1,,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 10, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-39917.84649486478,-30838.400214737732,-43050.49412394471,-27516.121056996846,-23581.66367663879,-32980.90511343657,7379.941872150485
34,5.552501583099366,0.04408751646575398,0.056215429306030275,0.0026694685350993853,0.6,1000,10,14,0.01,100,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 10, 'rgr__max_depth': 14, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-41345.772943121934,-31671.039583323247,-41872.00994645841,-27966.396929195093,-24127.288358772363,-33396.5015521742,7119.083180237565
35,3.3714816570281982,0.01651650391076396,0.052649068832397464,0.001347789092096329,0.6,1000,10,6,0.01,1,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 10, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-42082.73371672958,-31320.971083869194,-41856.97314222773,-28048.062843496336,-24017.15042043815,-33465.178241352194,7319.733291619601
