rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
21,0.05300736427307129,0.0013939379185863201,0.012998676300048828,0.0006321953475385722,5,60.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 60}",-24888.081175459196,-36307.8273088408,-24758.329982747688,-41455.06795121645,-40855.75056345767,-33653.01139634436,7426.155731608423
22,0.05380659103393555,0.0035816065945433262,0.013403940200805663,0.000801902344130387,2,80.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 80}",-25507.533133745586,-35747.263941383004,-24824.99834865221,-41863.84368774053,-40368.750656704324,-33662.47795364513,7227.544491334958
23,0.05345020294189453,0.0011014258644468106,0.013502216339111328,0.0006290985763501731,5,50.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 50}",-24786.143373206563,-36370.55255035452,-24953.327258644586,-41057.22581384386,-41240.43596446155,-33681.536992102214,7403.7587309195405
24,0.0545928955078125,0.00314750363285962,0.013303995132446289,0.000979188094031203,2,40.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 40}",-25251.84351927349,-35785.735537156856,-25688.884816585123,-40230.619278664235,-41538.757604720595,-33699.168151280064,6985.623989656259
25,0.05419168472290039,0.0015604178211948276,0.013428258895874023,0.000828801930529141,3,25.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 25}",-25070.687606856263,-36658.018364597054,-25611.469205436388,-39429.69585984871,-41841.88793913706,-33722.3517951751,7039.268304084688
26,0.05321359634399414,0.0015981930949648879,0.01380152702331543,0.00040064235436673923,5,80.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 80}",-25151.287430439083,-36423.15949426933,-24560.749885773555,-42240.63772163419,-40353.53010131791,-33745.87292668681,7499.645468326039
27,0.06328797340393066,0.003984675999117217,0.016002368927001954,0.002099011900705058,,10.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 10}",-24746.76132789563,-36950.95501468773,-26916.698221884813,-38533.139001696676,-41654.34631212839,-33760.37997565865,6683.6367854014725
28,0.05452351570129395,0.0029119436021053315,0.013702392578125,0.0007479176918019285,4,30.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 30}",-24771.46473631246,-36758.9171059917,-25547.496787800163,-39602.56452448879,-42144.709212284826,-33765.03047337559,7234.241650299412
29,0.05420575141906738,0.001421937892902637,0.013112783432006836,0.0008112444039862045,3,100.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 100}",-25636.43000266524,-36187.30037997539,-24233.853190994643,-42601.598069477564,-40203.34194632106,-33772.50471788678,7514.271484082962
30,0.05313544273376465,0.001256820688341234,0.014102697372436523,0.001285119958318105,5,40.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 40}",-24714.924732987878,-36572.89214857976,-25259.347107611142,-40656.992565604654,-41743.998480823255,-33789.63100712134,7393.17518568597
31,0.05420999526977539,0.0021128653425364296,0.013399267196655273,0.0004901556549431421,4,100.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 100}",-25451.35878427984,-36536.53784657245,-24487.07602648107,-42615.79384764277,-40136.695613212374,-33845.4924236377,7507.071161600739
32,0.05205612182617188,0.0012277912511864492,0.013402080535888672,0.0004920448786828624,2,100.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 100}",-25770.01208328391,-36069.89194827422,-24724.802895338646,-42656.28884922332,-40175.924619424564,-33879.38407910893,7362.7043355180585
33,0.056419086456298825,0.001840837877209365,0.01328730583190918,0.0006613761122072193,3,20.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 20}",-25134.014211414862,-37114.96092104384,-26031.932489131792,-39218.30572622962,-42066.47551888853,-33913.13777334173,6986.555691009786
34,0.05260729789733887,0.001462048263474398,0.013903427124023437,0.0006612262273879223,2,30.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 30}",-25298.0719272152,-36152.24029069849,-26250.240976689995,-39821.93229422238,-42060.57102311327,-33916.611302387864,6917.331679989279
35,0.053479337692260744,0.0008742344032205865,0.013101434707641602,0.00020226129393679826,4,25.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 25}",-24805.505500276446,-37096.30277370395,-25863.921104178895,-39374.63143873933,-42480.21937195926,-33924.11603777157,7226.252024267351
36,0.052794885635375974,0.0014781744124890345,0.013200712203979493,0.0007487278989168296,5,100.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 100}",-25468.888083833786,-36714.8417795711,-24510.761142900938,-43009.548915653475,-40117.26217495961,-33964.260419383776,7599.768050328481
37,0.052376317977905276,0.0014669879432532146,0.013503122329711913,0.0004478406357546087,5,30.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 30}",-24695.334092351244,-37008.19352684039,-25754.12231717539,-40256.45961811935,-42409.806566320185,-34024.783224161314,7395.750091817211
38,0.05700592994689942,0.0020233972270931435,0.015015459060668946,0.0010887350057595545,2,25.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 25}",-25357.080801645687,-36455.90580433449,-26655.580291272625,-39623.21665819527,-42370.28790466265,-34092.41429202214,6874.759772269651
39,0.054658126831054685,0.0018818394149731194,0.014602088928222656,0.001855527999551122,4,20.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 20}",-24879.146087958383,-37575.54910857185,-26288.98375067654,-39154.75966962988,-42869.423243115525,-34153.572371990434,7218.78927050667
40,0.054108715057373045,0.0014250362248243872,0.013644218444824219,0.00032983336707369064,3,15.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 15}",-25252.615829454135,-37782.423064547256,-26613.628292524387,-39032.086980101056,-42314.22582617239,-34198.99599855985,6922.892379547901
41,0.055482339859008786,0.0014854693125764358,0.014001226425170899,0.0006334665729551856,5,25.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 25}",-24720.116627062853,-37369.13688661045,-26120.52270736592,-40058.62441023323,-42830.63711947179,-34219.80755014885,7402.68851250308
42,0.06480507850646973,0.00531479556055406,0.018311500549316406,0.0016101219254747701,,5.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 5}",-25515.03111681149,-38235.42408153445,-27814.53065960694,-38681.58353387575,-41295.54378998729,-34308.42263636319,6369.617037518574
43,0.05551505088806152,0.004329221618077559,0.015203094482421875,0.0014695041221973394,2,20.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 20}",-25455.426440000836,-36881.30538624321,-27195.00338911669,-39436.14935083482,-42722.83738338471,-34338.14438991605,6821.840522389268
44,0.05429873466491699,0.0014709435032315631,0.013404130935668945,0.0010193269201280598,,150.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 150}",-26478.004120553996,-36781.51547209918,-24411.09573156354,-44271.571108470365,-40535.847335291735,-34495.60675359577,7787.922425868446
45,0.053563404083251956,0.0021372876435870177,0.012946271896362304,0.0004818775711710859,4,15.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 15}",-25023.298280582418,-38276.95920611033,-26883.47075195989,-38964.47610087704,-43340.55492271308,-34497.75185244855,7213.483860599618
46,0.05718183517456055,0.004313976882893214,0.014892196655273438,0.0018603228640012791,5,20.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 20}",-24787.286416847404,-37884.770991651974,-26618.045236897568,-39867.83106805757,-43341.442409975556,-34499.87522468602,7414.89588447677
