rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
68,0.05915126800537109,0.0071513629386492335,0.01540679931640625,0.0014909969351070943,2,250.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 250}",-28702.667710556878,-39675.027901125446,-25679.29498456512,-47928.129042501,-42329.92101138462,-36863.00813002661,8389.256080662773
69,0.054469966888427736,0.002173523748901003,0.013201904296875,0.0003990186161089953,4,250.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 250}",-28516.583742451086,-40024.4244345906,-25647.52689771499,-47930.67404433602,-42215.76876630598,-36866.99557707973,8444.99340558666
70,0.05505084991455078,0.00362560665010334,0.014002466201782226,0.0015164383941680558,5,250.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 250}",-28574.68160271147,-40179.12115050951,-25633.81622431118,-48158.35759278873,-42173.10456206375,-36943.816226476934,8503.377057435375
71,0.06069650650024414,0.004331667268735042,0.01580076217651367,0.0007491060064952117,,1.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 1}",-32152.749849068765,-43237.07382782991,-27888.990777212,-40986.2078967056,-40483.26147466708,-36949.65676509667,5889.273379753857
72,0.05495467185974121,0.0033284771803096564,0.013603925704956055,0.0005854450230887064,5,5.0,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__alpha': 5}",-26119.72661264303,-42240.56224360675,-30452.872565290076,-39923.39143505464,-46474.65786432656,-37042.24214418421,7576.478817946314
73,0.05614867210388184,0.002306343002233399,0.014316749572753907,0.001161558320636766,3,2.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 2}",-27929.331142857845,-43332.02725016135,-30528.22614554945,-40876.13856590863,-44500.35568520149,-37433.21575793575,6849.7717561668205
74,0.054204463958740234,0.0019143702900507769,0.013702201843261718,0.0017194300067589123,,300.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 300}",-29765.334014728673,-40634.07879671808,-26025.206320409587,-49279.132228464965,-43795.137734174954,-37899.77781889925,8705.1249436455
75,0.05615921020507812,0.0019152140056405084,0.015436220169067382,0.0015792082051642386,3,300.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 300}",-29732.93448377341,-40969.96159548572,-26028.58852072715,-49429.260431772826,-43735.244291616225,-37979.197864675065,8763.544880833815
76,0.05956287384033203,0.0038157058556696813,0.015323019027709961,0.0008729464197596698,2,300.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 300}",-29797.90486992002,-40914.63211047903,-26249.776590443664,-49454.261524591915,-43625.386828671566,-38008.392384821236,8679.653529054327
77,0.05595722198486328,0.0027665640497913455,0.013303422927856445,0.0003987182071276581,4,300.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 300}",-29632.271913368753,-41238.7793292668,-26243.878903244786,-49454.85380003897,-43500.6532146291,-38014.08743210968,8719.917628122592
