rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
71,0.19630746841430663,0.05473264015876586,0.02171745300292969,0.0012025423273609203,,100.0,1.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-47976.422624148385,-36051.25350428956,-46689.13693682388,-44255.213126262555,-32375.99936561069,-41469.60511142701,6154.575504962418
72,0.20058188438415528,0.05471365620188824,0.021785783767700195,0.0015477700897259337,,100.0,0.1,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-48054.3853655288,-36092.06857689139,-46715.34144140465,-44269.020362747826,-32298.522017462292,-41485.867552806994,6192.562447799074
73,0.2006593704223633,0.055964746552745304,0.02162318229675293,0.0008120928988391532,,100.0,0.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-48062.55599023232,-36099.45468435396,-46716.30571433046,-44271.77338809406,-32295.829881177426,-41489.18393163765,6194.21934534346
74,0.19632744789123535,0.05172235851756419,0.021268367767333984,0.0013718971158718772,,100.0,0.01,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-48061.68444016199,-36099.166290807494,-46716.8096930839,-44272.49694171607,-32389.4453657332,-41507.92054630053,6166.4972582655855
75,0.07073659896850586,0.0018529979420434453,0.02052779197692871,0.00041247495736291276,5,100.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44837.2729741734,-39276.34130880064,-46507.725112609696,-44823.80114693024,-32166.566022240604,-41522.34131295092,5278.588976095088
76,0.066278076171875,0.001067042584899205,0.02073187828063965,0.0008157462107180959,4,100.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-45066.72708967789,-39703.09196140937,-43204.58802965226,-45203.30656615361,-34506.379336139726,-41536.818596606565,4036.6935095406225
77,0.06700825691223145,0.0009997168670608802,0.019871044158935546,0.0007654722075482409,4,100.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-45066.59392126146,-39716.101965790076,-43167.691902573264,-45240.63049814308,-34513.38401873568,-41540.88046130071,4036.8513475296827
78,0.06800546646118164,0.0010844281413444517,0.01956315040588379,0.00038273032041730566,5,100.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-45931.79176208387,-39500.10849707673,-46454.73941435205,-45030.812143138246,-32217.153062792626,-41826.92097588871,5409.127137301277
79,0.06823043823242188,0.0012320958357836366,0.020168352127075195,0.0005324780871286732,5,100.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-45928.42143393112,-39498.3586423304,-46455.695314909,-45074.531295681845,-32202.97779774247,-41831.996896918965,5419.173123101055
80,0.06768918037414551,0.0012065161677309684,0.019916772842407227,0.00020173565155190328,5,100.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-45937.90714002538,-39505.25691832833,-46469.72877600626,-45071.33353067982,-32252.27716439665,-41847.30070588728,5404.515441413384
81,0.07090063095092773,0.002499336191996922,0.020725488662719727,0.0009723569982536315,2,10.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41007.06620834387,-45694.26971009552,-42856.37307248201,-46319.41871997238,-33925.704143052884,-41960.56637078934,4454.453449149777
82,0.06890425682067872,0.0010140978544718362,0.020795536041259766,0.00020858306075694378,2,10.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-41103.53960156863,-45148.082929172706,-43244.63303112654,-46584.23954072991,-34110.85076906683,-42038.26917433292,4370.578539810949
83,0.06851515769958497,0.001455297684108426,0.020562505722045897,0.0007547139364515768,2,10.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-41022.328418976766,-45368.845487843566,-43119.92238037241,-46636.08383950408,-34046.9266827535,-42038.82136189006,4433.876426899547
84,0.0703557014465332,0.0035011973976282105,0.020819997787475585,0.0007512905536446351,2,10.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41133.47478600205,-45734.50609364635,-42993.65240787337,-46949.89037481641,-34057.53391845482,-42173.811516158596,4541.318680319571
85,0.1857438564300537,0.01521533805931796,0.020388317108154298,0.0006148211063827229,5,100.0,1.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-49723.82939559928,-33197.052345739416,-51338.282368085274,-43254.36723850114,-33371.7317764852,-42177.05262488207,7748.763218322261
86,0.18286170959472656,0.013241799551294392,0.021050119400024415,0.0007346866963726959,5,100.0,0.1,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-49692.680663856285,-33259.570445738354,-51329.49716508895,-43376.140606969784,-33263.77469208762,-42184.3327147482,7754.449881127728
87,0.1818110466003418,0.012931832830635459,0.020250797271728516,0.0006358364162155316,5,100.0,0.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-49690.08171175625,-33267.950435554034,-51326.21368253828,-43383.366759276796,-33270.24253623501,-42187.57102507208,7749.9775806307025
88,0.1792884349822998,0.010513739893531649,0.020676088333129884,0.0005492656447546813,5,100.0,0.01,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-49681.820624782464,-33264.502587116,-51351.713848619926,-43382.58970316483,-33272.54167480212,-42190.633687697074,7754.640058174771
89,0.07122106552124023,0.0018466774378803322,0.021367788314819336,0.00048689543120078476,2,100.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-41012.75768819092,-48203.572242006514,-44041.927684408445,-47923.547354023845,-35492.417270576196,-43334.844447841184,4736.167698643476
90,0.0752284049987793,0.005066054365051864,0.020859622955322267,0.0009431702855847049,2,100.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41019.151724408635,-48476.345990638554,-44007.00417888472,-47853.30879310066,-35336.41579279626,-43338.44529596577,4829.9189592926205
91,0.06966996192932129,0.002362880480537426,0.02049884796142578,0.0007796126926879275,2,100.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41117.07764620832,-48562.02823312838,-43988.45777265103,-47775.56988981483,-35480.28375789587,-43384.68345993969,4776.419092528517
92,0.0692713737487793,0.0016797565075818133,0.02074270248413086,0.0007884009106190751,2,100.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-41012.69124876324,-48815.473649849184,-44031.238593272705,-47816.87025093546,-35449.252887338276,-43425.10532603177,4860.967623091126
93,0.07939419746398926,0.005188134936405631,0.02127184867858887,0.00039251361529743674,,10.0,0.1,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-58968.84574501486,-38587.543091460204,-51784.63635893308,-36350.7291280069,-33829.87485288578,-43904.32583526017,9755.599608612136
94,0.07903900146484374,0.005592015966638863,0.021054601669311522,0.0009112897993668688,,10.0,0.01,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-58974.870531623295,-38566.18516858561,-51791.22448492778,-36365.260382087385,-33832.94899973082,-43906.09791339097,9757.97476018019
95,0.07973532676696778,0.005189844952325023,0.020551347732543947,0.0006942459934891673,,10.0,0.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-58972.44130661506,-38572.69070445399,-51801.68804870128,-36355.73705035049,-33834.508670996474,-43907.413156223454,9759.355815462708
96,0.0809450626373291,0.008586719658917536,0.021797704696655273,0.0009841001083393146,,10.0,1.0,epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-59023.375656823024,-38736.02779546883,-51747.54656787353,-36404.62949083734,-33807.30691971903,-43943.77728614435,9746.799862005655
