rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,param_rgr__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
11,0.04080719947814941,0.003444970454332519,0.013301658630371093,0.00040082959314191916,,0.06999999999999999,0.4,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.4)}",-25141.207754001214,-35904.26648305772,-35279.19739456375,-39428.97240319227,-41682.80776609691,-35487.29036018237,5677.6736489250425
12,0.038201093673706055,0.0012057258689900604,0.013000869750976562,7.921813834112238e-07,4,0.08999999999999998,0.1,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.1)}",-25343.495322221464,-36740.38871797823,-32402.866214855996,-40638.875916971825,-42349.86675287256,-35495.09858498002,6125.5855104194125
13,0.0401057243347168,0.0007347383319403727,0.014200687408447266,0.0004003055185126274,,0.049999999999999996,0.2,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.2)}",-25169.679950957783,-35965.77080042479,-35459.62473306375,-39401.79517317696,-41659.385716983394,-35531.251274921335,5658.466924696779
14,0.048107147216796875,0.019704479749307287,0.013000917434692384,0.000893835309147376,3,0.08999999999999998,0.2,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.2)}",-25734.59920617131,-36493.41730518766,-33060.65868670559,-40429.93162457031,-42122.3941428277,-35568.20019309252,5838.4482582842
15,0.04040617942810058,0.001716533429861928,0.013400506973266602,0.0007997993705651601,,0.08999999999999998,0.6,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.6)}",-25208.88208986179,-36161.47055062271,-35750.11496323329,-39392.683117344925,-41566.64573680273,-35615.95929157309,5626.67127502505
16,0.03990578651428223,0.0021742071484504044,0.013199329376220703,0.0004005450577920478,,0.06999999999999999,0.5,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.5)}",-25234.077418174165,-36188.741253242595,-35842.03646844435,-39371.996224123664,-41554.75778131659,-35638.321829060274,5613.150662930303
17,0.040804481506347655,0.0015028655976165196,0.01341543197631836,0.0007930597384683075,,0.049999999999999996,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-25246.18130780396,-36176.45970425845,-35860.207830276646,-39359.584335826556,-41566.151673588785,-35641.71697035088,5609.319282387508
18,0.040783262252807616,0.002415457088306165,0.014103460311889648,0.0006662155982604637,4,0.08999999999999998,0.2,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.2)}",-25401.197314110315,-36976.69483839185,-32970.04405057453,-40528.346317822376,-42474.5528823768,-35670.16708065518,6072.083511689116
19,0.039424562454223634,0.0018889514513921772,0.014467000961303711,0.0019753677601001456,3,0.08999999999999998,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-25805.830215228674,-36765.42716083219,-33694.51803726993,-40320.25654952918,-42178.91929263473,-35752.99025109894,5768.202746404474
20,0.0388035774230957,0.0008104897277054928,0.014703655242919922,0.0017204453344321752,3,0.06999999999999999,0.1,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.1)}",-25800.914155202103,-36763.03314529867,-33714.569879322764,-40300.994670306296,-42192.276359298,-35754.35764188557,5768.325637657846
21,0.04180479049682617,0.002110099477836022,0.014502334594726562,0.0018422281284161198,,0.049999999999999996,0.4,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.4)}",-25346.884856353514,-36427.03457039002,-36245.91906159888,-39340.033504644176,-41445.361835941716,-35761.046765785664,5554.349522108321
22,0.04180607795715332,0.001025939769790673,0.013901281356811523,0.0009208118320702047,,0.06999999999999999,0.6,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.6)}",-25371.894506830078,-36553.39426219074,-36369.95390508155,-39354.60900021744,-41361.22005041029,-35802.21434494601,5535.3450411296835
23,0.04290847778320313,0.0018595113226233186,0.014102792739868164,0.0013585171777945513,,0.08999999999999998,0.7000000000000001,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-25377.756845131335,-36626.33852382743,-36386.86509958648,-39364.54747869745,-41316.99983076117,-35814.50155560077,5527.976714227613
24,0.04555377960205078,0.0017367795543762432,0.015001153945922852,0.0015488665838299938,,0.03,0.1,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.1)}",-25469.5696825379,-36596.192214420786,-36470.39782068184,-39323.73217650279,-41360.49712576666,-35844.07780398199,5497.767697849381
25,0.040106344223022464,0.001933678257351498,0.015000057220458985,0.0020985797674453258,2,0.08999999999999998,0.1,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.1)}",-25936.018865544484,-35893.99161143308,-34153.171840940995,-40818.470509656596,-42421.049864858505,-35844.54053848673,5814.334519113535
26,0.04030756950378418,0.0029766294652350165,0.013600540161132813,0.00048790066572083635,4,0.08999999999999998,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-25477.859277186515,-37260.41481714342,-33573.850416002795,-40423.50041794352,-42598.942060769456,-35866.91339780914,6020.2180152618985
27,0.038823843002319336,0.00048161058139984373,0.013198947906494141,0.00040097323109205424,4,0.06999999999999999,0.1,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.1)}",-25477.91430406954,-37255.31262940095,-33593.63522021574,-40395.777757780495,-42617.28744314287,-35867.98547092192,6018.386904561047
28,0.040402984619140624,0.0013895382808078896,0.013802480697631837,0.0007494624593286331,,0.049999999999999996,0.5,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.5)}",-25506.398093013675,-36736.096132458304,-36586.05837293864,-39337.78725177499,-41257.82539956383,-35884.833049949884,5472.115083832021
29,0.04220423698425293,0.0035278160085982476,0.013800477981567383,0.0011650923494731776,3,0.06999999999999999,0.2,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.2)}",-25871.23047445119,-37017.910282899276,-34229.32635505059,-40214.26624909493,-42238.861621820724,-35914.31899666334,5716.819514126033
